Gene,Non-unique Gene name,Annotation,No. isolates,No. sequences,Avg sequences per isolate,Genome Fragment,Order within Fragment,Accessory Fragment,Accessory Order with Fragment,QC,Min group size nuc,Max group size nuc,Avg group size nuc,PROKKA_Fusobacterium_necrophorum_BL.fna,PROKKA_Fusobacterium_necrophorum_D12.fna,PROKKA_Fusobacterium_necrophorum_DJ-1.fna,PROKKA_Fusobacterium_necrophorum_DJ-2.fna,PROKKA_Fusobacterium_necrophorum_isolate_MGYG-HGUT-02362.fna,PROKKA_Fusobacterium_necrophorum_strain_ATCC_25286.fna,PROKKA_Fusobacterium_necrophorum_strain_FDAARGOS_565.fna,PROKKA_Fusobacterium_necrophorum_strain_KG34.fna,PROKKA_Fusobacterium_necrophorum_strain_KG35.fna,PROKKA_Fusobacterium_necrophorum_subsp._funduliforme_ATCC_51357.fna,PROKKA_Fusobacterium_necrophorum_subsp._funduliforme_B35_FNF_B35.fna,PROKKA_Fusobacterium_necrophorum_subsp._funduliforme_Fnf_1007.fna,PROKKA_Fusobacterium_necrophorum_subsp._funduliforme_strain_1_1.fna,PROKKA_Fusobacterium_necrophorum_subsp._funduliforme_strain_CCUG_42162.fna,PROKKA_Fusobacterium_necrophorum_subsp._funduliforme_strain_F1248.fna,PROKKA_Fusobacterium_necrophorum_subsp._funduliforme_strain_F1250.fna,PROKKA_Fusobacterium_necrophorum_subsp._funduliforme_strain_F1260.fna,PROKKA_Fusobacterium_necrophorum_subsp._funduliforme_strain_F1267.fna,PROKKA_Fusobacterium_necrophorum_subsp._funduliforme_strain_F1285.fna,PROKKA_Fusobacterium_necrophorum_subsp._funduliforme_strain_F1291.fna,PROKKA_Fusobacterium_necrophorum_subsp._funduliforme_strain_F1309.fna,PROKKA_Fusobacterium_necrophorum_subsp._funduliforme_strain_F1314_102.fna,PROKKA_Fusobacterium_necrophorum_subsp._funduliforme_strain_F1330.fna,PROKKA_Fusobacterium_necrophorum_subsp._funduliforme_strain_F1351_200.fna,PROKKA_Fusobacterium_necrophorum_subsp._funduliforme_strain_F1353.fna,PROKKA_Fusobacterium_necrophorum_subsp._funduliforme_strain_F1365.fna,PROKKA_Fusobacterium_necrophorum_subsp._funduliforme_strain_LS_1195_338.fna,PROKKA_Fusobacterium_necrophorum_subsp._funduliforme_strain_LS_1197.fna,PROKKA_Fusobacterium_necrophorum_subsp._funduliforme_strain_LS_1260.fna,PROKKA_Fusobacterium_necrophorum_subsp._funduliforme_strain_LS_1264.fna,PROKKA_Fusobacterium_necrophorum_subsp._funduliforme_strain_LS_1266.fna,PROKKA_Fusobacterium_necrophorum_subsp._funduliforme_strain_LS_1272_324.fna,PROKKA_Fusobacterium_necrophorum_subsp._funduliforme_strain_LS_1291.fna,PROKKA_Fusobacterium_necrophorum_subsp._funduliforme_strain_P1_CP.fna,PROKKA_Fusobacterium_necrophorum_subsp._funduliforme_strain_P1_LM.fna,PROKKA_Fusobacterium_necrophorum_subsp._necrophorum_strain_ATCC_25286.fna,PROKKA_usobacterium_necrophorum_BFTR-1.fna,PROKKA_usobacterium_necrophorum_BFTR-2.fna,PROKKA_usobacterium_necrophorum_DAB.fna,PROKKA_usobacterium_necrophorum_HUN048_T527.fna,PROKKA_usobacterium_necrophorum_subsp._funduliforme_B35.fna,PROKKA_usobacterium_necrophorum_subsp._funduliforme_strain_LS_1280.fna
tmk,,Thymidylate kinase,42,42,1,56,2653,,,,461,680,665,CNENEDLI_00509,DFALKBJJ_00871,EJBHNGMC_00009,DCFFOKJI_01608,PHBPEANE_01132,JINGLCIG_01348,ADPOPIFB_01260,NJBJJNNI_00488,DJMJFLHK_01680,AIHILEFE_00630,JGGOHAED_01198,GJMCKLCA_00814,GBODHHMP_00184,MNODNHPF_01422,EJGBHNGE_02051,BJIHFIIA_00517,CCJAMINL_02182,INNBEBHB_02147,BCLEFNON_02139,PIKLICFD_01942,KCBGGAIE_01889,DKDLJDCI_00010,HHABKOMD_01819,HFDAGFPP_01917,OIIKEPCC_00519,LJEDAGOM_01684,IPMILDJG_01372,BJPOBNPA_01507,MHOHJPEI_02150,IFBIBDFK_00657,NDJNICBH_00370,GDMGBJMC_00385,PCEJJBAK_00402,CENHJHOP_01816,OJDKFIFK_01814,HDNLMBCC_00197,LLAELIHG_00761,JNMNFCGE_01164,FDAPKMPL_01072,PPEHEOKD_01719,GBLJPCAA_00239,DMLJKPOB_00467
group_1004,,hypothetical protein,42,42,1,56,2641,,,,572,572,572,CNENEDLI_00520,DFALKBJJ_00860,EJBHNGMC_00138,DCFFOKJI_00191,PHBPEANE_01143,JINGLCIG_01337,ADPOPIFB_01249,NJBJJNNI_00499,DJMJFLHK_01694,AIHILEFE_00619,JGGOHAED_01209,GJMCKLCA_00825,GBODHHMP_00195,MNODNHPF_01433,EJGBHNGE_02062,BJIHFIIA_00506,CCJAMINL_02193,INNBEBHB_02158,BCLEFNON_02150,PIKLICFD_01953,KCBGGAIE_01900,DKDLJDCI_00021,HHABKOMD_01830,HFDAGFPP_01928,OIIKEPCC_00530,LJEDAGOM_01695,IPMILDJG_01361,BJPOBNPA_01518,MHOHJPEI_02161,IFBIBDFK_00668,NDJNICBH_00359,GDMGBJMC_00374,PCEJJBAK_00413,CENHJHOP_01827,OJDKFIFK_01825,HDNLMBCC_00208,LLAELIHG_00750,JNMNFCGE_01175,FDAPKMPL_01083,PPEHEOKD_01730,GBLJPCAA_00253,DMLJKPOB_00478
group_1006,,hypothetical protein,42,42,1,56,4037,,,,803,1238,1082,CNENEDLI_00557,DFALKBJJ_01819,EJBHNGMC_02172,DCFFOKJI_00780,PHBPEANE_00094,JINGLCIG_01431,ADPOPIFB_00729,NJBJJNNI_01095,DJMJFLHK_00914,AIHILEFE_00745,JGGOHAED_01871,GJMCKLCA_01545,GBODHHMP_00579,MNODNHPF_00761,EJGBHNGE_01606,BJIHFIIA_02026,CCJAMINL_00250,INNBEBHB_01566,BCLEFNON_01742,PIKLICFD_00243,KCBGGAIE_01434,DKDLJDCI_01404,HHABKOMD_01402,HFDAGFPP_00718,OIIKEPCC_01481,LJEDAGOM_01865,IPMILDJG_00144,BJPOBNPA_00203,MHOHJPEI_01541,IFBIBDFK_01788,NDJNICBH_01686,GDMGBJMC_01572,PCEJJBAK_01625,CENHJHOP_00671,OJDKFIFK_01252,HDNLMBCC_00738,LLAELIHG_00317,JNMNFCGE_00226,FDAPKMPL_00554,PPEHEOKD_01370,GBLJPCAA_02048,DMLJKPOB_01420
group_1011,,hypothetical protein,42,42,1,56,5802,,,,539,950,935,CNENEDLI_00580,DFALKBJJ_01001,EJBHNGMC_00989,DCFFOKJI_00494,PHBPEANE_00659,JINGLCIG_01544,ADPOPIFB_02025,NJBJJNNI_01663,DJMJFLHK_00747,AIHILEFE_01948,JGGOHAED_00516,GJMCKLCA_01354,GBODHHMP_01946,MNODNHPF_01884,EJGBHNGE_01537,BJIHFIIA_01558,CCJAMINL_01581,INNBEBHB_01609,BCLEFNON_01794,PIKLICFD_01375,KCBGGAIE_01476,DKDLJDCI_00075,HHABKOMD_01449,HFDAGFPP_01368,OIIKEPCC_00584,LJEDAGOM_01411,IPMILDJG_01086,BJPOBNPA_01395,MHOHJPEI_01365,IFBIBDFK_00722,NDJNICBH_01139,GDMGBJMC_00814,PCEJJBAK_00467,CENHJHOP_01343,OJDKFIFK_01294,HDNLMBCC_01845,LLAELIHG_00555,JNMNFCGE_00011,FDAPKMPL_00245,PPEHEOKD_00854,GBLJPCAA_01221,DMLJKPOB_01461
bioD1,,ATP-dependent dethiobiotin synthetase BioD 1,42,42,1,56,5805,,,,695,695,695,CNENEDLI_00583,DFALKBJJ_01004,EJBHNGMC_00992,DCFFOKJI_00497,PHBPEANE_00662,JINGLCIG_01541,ADPOPIFB_02028,NJBJJNNI_01660,DJMJFLHK_00750,AIHILEFE_01945,JGGOHAED_00519,GJMCKLCA_01351,GBODHHMP_01949,MNODNHPF_01887,EJGBHNGE_01534,BJIHFIIA_01561,CCJAMINL_01584,INNBEBHB_01612,BCLEFNON_01797,PIKLICFD_01378,KCBGGAIE_01479,DKDLJDCI_00078,HHABKOMD_01452,HFDAGFPP_01365,OIIKEPCC_00587,LJEDAGOM_01414,IPMILDJG_01083,BJPOBNPA_01392,MHOHJPEI_01368,IFBIBDFK_00725,NDJNICBH_01142,GDMGBJMC_00811,PCEJJBAK_00470,CENHJHOP_01346,OJDKFIFK_01297,HDNLMBCC_01842,LLAELIHG_00558,JNMNFCGE_00008,FDAPKMPL_00248,PPEHEOKD_00851,GBLJPCAA_01224,DMLJKPOB_01464
group_1014,,Putative O-methyltransferase/MSMEI_4947,42,42,1,56,4140,,,,623,662,636,CNENEDLI_00606,DFALKBJJ_00756,EJBHNGMC_01979,DCFFOKJI_02279,PHBPEANE_00071,JINGLCIG_00009,ADPOPIFB_00714,NJBJJNNI_01569,DJMJFLHK_00003,AIHILEFE_01231,JGGOHAED_01661,GJMCKLCA_01522,GBODHHMP_00665,MNODNHPF_01167,EJGBHNGE_00238,BJIHFIIA_00349,CCJAMINL_00347,INNBEBHB_00241,BCLEFNON_00241,PIKLICFD_00267,KCBGGAIE_00069,DKDLJDCI_00360,HHABKOMD_00242,HFDAGFPP_00694,OIIKEPCC_00891,LJEDAGOM_00996,IPMILDJG_00294,BJPOBNPA_00225,MHOHJPEI_00241,IFBIBDFK_01073,NDJNICBH_00324,GDMGBJMC_02038,PCEJJBAK_01284,CENHJHOP_00648,OJDKFIFK_00306,HDNLMBCC_00753,LLAELIHG_01047,JNMNFCGE_00415,FDAPKMPL_02022,PPEHEOKD_01083,GBLJPCAA_02033,DMLJKPOB_01021
rnhB,,Ribonuclease HII,42,42,1,56,4174,,,,629,629,629,CNENEDLI_00633,DFALKBJJ_00014,EJBHNGMC_00242,DCFFOKJI_02092,PHBPEANE_00038,JINGLCIG_00526,ADPOPIFB_00686,NJBJJNNI_01543,DJMJFLHK_00027,AIHILEFE_01205,JGGOHAED_01633,GJMCKLCA_00386,GBODHHMP_00694,MNODNHPF_01141,EJGBHNGE_00204,BJIHFIIA_00316,CCJAMINL_00380,INNBEBHB_00208,BCLEFNON_00208,PIKLICFD_00292,KCBGGAIE_00103,DKDLJDCI_00385,HHABKOMD_00208,HFDAGFPP_00660,OIIKEPCC_00916,LJEDAGOM_00962,IPMILDJG_00328,BJPOBNPA_00259,MHOHJPEI_00208,IFBIBDFK_01098,NDJNICBH_01383,GDMGBJMC_00776,PCEJJBAK_01309,CENHJHOP_00615,OJDKFIFK_00273,HDNLMBCC_00781,LLAELIHG_02028,JNMNFCGE_00925,FDAPKMPL_00072,PPEHEOKD_01117,GBLJPCAA_02000,DMLJKPOB_00358
tpiA,,Triosephosphate isomerase,42,42,1,56,4178,,,,791,794,791,CNENEDLI_00637,DFALKBJJ_00018,EJBHNGMC_00238,DCFFOKJI_02096,PHBPEANE_00034,JINGLCIG_00530,ADPOPIFB_00682,NJBJJNNI_01539,DJMJFLHK_00031,AIHILEFE_01201,JGGOHAED_01629,GJMCKLCA_00390,GBODHHMP_00698,MNODNHPF_01137,EJGBHNGE_00200,BJIHFIIA_00312,CCJAMINL_00384,INNBEBHB_00204,BCLEFNON_00204,PIKLICFD_00296,KCBGGAIE_00107,DKDLJDCI_00389,HHABKOMD_00204,HFDAGFPP_00656,OIIKEPCC_00920,LJEDAGOM_00958,IPMILDJG_00332,BJPOBNPA_00263,MHOHJPEI_00204,IFBIBDFK_01102,NDJNICBH_01379,GDMGBJMC_00772,PCEJJBAK_01313,CENHJHOP_00611,OJDKFIFK_00269,HDNLMBCC_00785,LLAELIHG_02024,JNMNFCGE_00929,FDAPKMPL_00068,PPEHEOKD_01121,GBLJPCAA_01996,DMLJKPOB_00362
dapF_2,,Diaminopimelate epimerase,42,42,1,56,2481,,,,299,767,755,CNENEDLI_00644,DFALKBJJ_00775,EJBHNGMC_01829,DCFFOKJI_01464,PHBPEANE_01228,JINGLCIG_00019,ADPOPIFB_01127,NJBJJNNI_00807,DJMJFLHK_00773,AIHILEFE_00829,JGGOHAED_01294,GJMCKLCA_00909,GBODHHMP_00280,MNODNHPF_01519,EJGBHNGE_02147,BJIHFIIA_00765,CCJAMINL_02278,INNBEBHB_02243,BCLEFNON_02236,PIKLICFD_02039,KCBGGAIE_01985,DKDLJDCI_00242,HHABKOMD_01915,HFDAGFPP_02013,OIIKEPCC_00756,LJEDAGOM_01840,IPMILDJG_01276,BJPOBNPA_01603,MHOHJPEI_02246,IFBIBDFK_00896,NDJNICBH_01321,GDMGBJMC_00290,PCEJJBAK_00634,CENHJHOP_01912,OJDKFIFK_01910,HDNLMBCC_00330,LLAELIHG_01576,JNMNFCGE_00064,FDAPKMPL_00926,PPEHEOKD_01815,GBLJPCAA_00352,DMLJKPOB_00653
group_1020,,Putative glutamine amidotransferase,42,42,1,56,5771,,,,737,758,741,CNENEDLI_00663,DFALKBJJ_00973,EJBHNGMC_00920,DCFFOKJI_00461,PHBPEANE_01910,JINGLCIG_01577,ADPOPIFB_01992,NJBJJNNI_01690,DJMJFLHK_00717,AIHILEFE_00160,JGGOHAED_00489,GJMCKLCA_00365,GBODHHMP_01919,MNODNHPF_01857,EJGBHNGE_01327,BJIHFIIA_01531,CCJAMINL_01554,INNBEBHB_01091,BCLEFNON_01232,PIKLICFD_01348,KCBGGAIE_00836,DKDLJDCI_00314,HHABKOMD_00806,HFDAGFPP_01395,OIIKEPCC_00864,LJEDAGOM_01135,IPMILDJG_01113,BJPOBNPA_00637,MHOHJPEI_01338,IFBIBDFK_01012,NDJNICBH_01911,GDMGBJMC_00841,PCEJJBAK_00747,CENHJHOP_00574,OJDKFIFK_00600,HDNLMBCC_01878,LLAELIHG_01796,JNMNFCGE_01519,FDAPKMPL_01246,PPEHEOKD_00881,GBLJPCAA_01191,DMLJKPOB_00204
